Date;Rate
31.12.2014;17
12.01.2015;17
13.01.2015;17
14.01.2015;17
15.01.2015;17
16.01.2015;17
19.01.2015;17
20.01.2015;17
21.01.2015;17
22.01.2015;17
23.01.2015;17
26.01.2015;17
27.01.2015;17
28.01.2015;17
29.01.2015;17
30.01.2015;17
02.02.2015;15
03.02.2015;15
04.02.2015;15
05.02.2015;15
06.02.2015;15
09.02.2015;15
10.02.2015;15
11.02.2015;15
12.02.2015;15
13.02.2015;15
16.02.2015;15
17.02.2015;15
18.02.2015;15
19.02.2015;15
20.02.2015;15
24.02.2015;15
25.02.2015;15
26.02.2015;15
27.02.2015;15
02.03.2015;15
03.03.2015;15
04.03.2015;15
05.03.2015;15
06.03.2015;15
10.03.2015;15
11.03.2015;15
12.03.2015;15
13.03.2015;15
16.03.2015;14
17.03.2015;14
18.03.2015;14
19.03.2015;14
20.03.2015;14
23.03.2015;14
24.03.2015;14
25.03.2015;14
26.03.2015;14
27.03.2015;14
30.03.2015;14
31.03.2015;14
01.04.2015;14
02.04.2015;14
03.04.2015;14
06.04.2015;14
07.04.2015;14
08.04.2015;14
09.04.2015;14
10.04.2015;14
13.04.2015;14
14.04.2015;14
15.04.2015;14
16.04.2015;14
17.04.2015;14
20.04.2015;14
21.04.2015;14
22.04.2015;14
23.04.2015;14
24.04.2015;14
27.04.2015;14
28.04.2015;14
29.04.2015;14
30.04.2015;14
01.05.2015;14
05.05.2015;12,5
06.05.2015;12,5
07.05.2015;12,5
08.05.2015;12,5
12.05.2015;12,5
13.05.2015;12,5
14.05.2015;12,5
15.05.2015;12,5
18.05.2015;12,5
19.05.2015;12,5
20.05.2015;12,5
21.05.2015;12,5
22.05.2015;12,5
25.05.2015;12,5
26.05.2015;12,5
27.05.2015;12,5
28.05.2015;12,5
29.05.2015;12,5
01.06.2015;12,5
02.06.2015;12,5
03.06.2015;12,5
04.06.2015;12,5
05.06.2015;12,5
08.06.2015;12,5
09.06.2015;12,5
10.06.2015;12,5
11.06.2015;12,5
15.06.2015;12,5
16.06.2015;11,5
17.06.2015;11,5
18.06.2015;11,5
19.06.2015;11,5
22.06.2015;11,5
23.06.2015;11,5
24.06.2015;11,5
25.06.2015;11,5
26.06.2015;11,5
29.06.2015;11,5
30.06.2015;11,5
01.07.2015;11,5
02.07.2015;11,5
03.07.2015;11,5
06.07.2015;11,5
07.07.2015;11,5
08.07.2015;11,5
09.07.2015;11,5
10.07.2015;11,5
13.07.2015;11,5
14.07.2015;11,5
15.07.2015;11,5
16.07.2015;11,5
17.07.2015;11,5
20.07.2015;11,5
21.07.2015;11,5
22.07.2015;11,5
23.07.2015;11,5
24.07.2015;11,5
27.07.2015;11,5
28.07.2015;11,5
29.07.2015;11,5
30.07.2015;11,5
31.07.2015;11,5
03.08.2015;11
04.08.2015;11
05.08.2015;11
06.08.2015;11
07.08.2015;11
10.08.2015;11
11.08.2015;11
12.08.2015;11
13.08.2015;11
14.08.2015;11
17.08.2015;11
18.08.2015;11
19.08.2015;11
20.08.2015;11
21.08.2015;11
24.08.2015;11
25.08.2015;11
26.08.2015;11
27.08.2015;11
28.08.2015;11
31.08.2015;11
01.09.2015;11
02.09.2015;11
03.09.2015;11
04.09.2015;11
07.09.2015;11
08.09.2015;11
09.09.2015;11
10.09.2015;11
11.09.2015;11
14.09.2015;11
15.09.2015;11
16.09.2015;11
17.09.2015;11
18.09.2015;11
21.09.2015;11
22.09.2015;11
23.09.2015;11
24.09.2015;11
25.09.2015;11
28.09.2015;11
29.09.2015;11
30.09.2015;11
01.10.2015;11
02.10.2015;11
05.10.2015;11
06.10.2015;11
07.10.2015;11
08.10.2015;11
09.10.2015;11
12.10.2015;11
13.10.2015;11
14.10.2015;11
15.10.2015;11
16.10.2015;11
19.10.2015;11
20.10.2015;11
21.10.2015;11
22.10.2015;11
23.10.2015;11
26.10.2015;11
27.10.2015;11
28.10.2015;11
29.10.2015;11
30.10.2015;11
02.11.2015;11
03.11.2015;11
05.11.2015;11
06.11.2015;11
09.11.2015;11
10.11.2015;11
11.11.2015;11
12.11.2015;11
13.11.2015;11
16.11.2015;11
17.11.2015;11
18.11.2015;11
19.11.2015;11
20.11.2015;11
23.11.2015;11
24.11.2015;11
25.11.2015;11
26.11.2015;11
27.11.2015;11
30.11.2015;11
01.12.2015;11
02.12.2015;11
03.12.2015;11
04.12.2015;11
07.12.2015;11
08.12.2015;11
09.12.2015;11
10.12.2015;11
11.12.2015;11
14.12.2015;11
15.12.2015;11
16.12.2015;11
17.12.2015;11
18.12.2015;11
21.12.2015;11
22.12.2015;11
23.12.2015;11
24.12.2015;11
25.12.2015;11
28.12.2015;11
29.12.2015;11
30.12.2015;11
31.12.2015;11
01.01.2016;11
11.01.2016;11
12.01.2016;11
13.01.2016;11
14.01.2016;11
15.01.2016;11
18.01.2016;11
19.01.2016;11
20.01.2016;11
21.01.2016;11
22.01.2016;11
25.01.2016;11
26.01.2016;11
27.01.2016;11
28.01.2016;11
29.01.2016;11
01.02.2016;11
02.02.2016;11
03.02.2016;11
04.02.2016;11
05.02.2016;11
08.02.2016;11
09.02.2016;11
10.02.2016;11
11.02.2016;11
12.02.2016;11
15.02.2016;11
16.02.2016;11
17.02.2016;11
18.02.2016;11
19.02.2016;11
20.02.2016;11
24.02.2016;11
25.02.2016;11
26.02.2016;11
29.02.2016;11
01.03.2016;11
02.03.2016;11
03.03.2016;11
04.03.2016;11
09.03.2016;11
10.03.2016;11
11.03.2016;11
14.03.2016;11
15.03.2016;11
16.03.2016;11
17.03.2016;11
18.03.2016;11
21.03.2016;11
22.03.2016;11
23.03.2016;11
24.03.2016;11
25.03.2016;11
28.03.2016;11
29.03.2016;11
